1-state,2-city,3-street,4-number
SP,Sao Paulo,Rua 25 de Marco,166
SP,Sao Paulo,Avenida Tiradentes,551
SP,Sao Paulo,Rua Baronesa de Itu,311
SP,Sao Paulo,Rua Martiniano de Carvalho,694
SP,Sao Paulo,Alameda Itu,"1,040"
SP,Sao Paulo,Rua Cuba,324
SP,Sao Paulo,Rua do Lavapes,594
SP,Sao Paulo,Rua Botupuca,202
SP,Sao Paulo,Av. Olavo Fontoura,"2,220"
SP,Sao Paulo,R. Dr. Zuquim,795
SP,Sao Paulo,Av. Joaquina Ramalho,230
SP,Sao Paulo,Avenida Nossa Senhora do Loreto,540
SP,Sao Paulo,Rua Irmaos Pila,145
SP,Sao Paulo,Rua Josefina Arnoni,450
SP,Sao Paulo,Avenida Engenheiro Caetano alvares,"4,496"
SP,Sao Paulo,Rua Jeronimo dos Santos,18
SP,Sao Paulo,Rua Aurelio Brasil Ribeiro,401
SP,Sao Paulo,Rua Ouvidio Jose Antonio Santana,409
SP,Sao Paulo,Avenida Doutor Felipe Pinel,377
SP,Sao Paulo,Rua Silvado,271
SP,Sao Paulo,Rua Philonilia Goncalves dos Santos,10
SP,Sao Paulo,Rua Major Marcelino,42
SP,Sao Paulo,Rua Henrique Sertorio,418
SP,Sao Paulo,Rua Adelaide de Freitas,107
SP,Sao Paulo,Rua Aristides Pileggi,26
SP,Sao Paulo,Rua Porto Alegre,695
SP,Sao Paulo,Avenida Brumado de Minas,687
SP,Sao Paulo,R. Tanganica,29
SP,Sao Paulo,Rua Sete de Outubro,280
SP,Sao Paulo,Travessa Olinda Ramos Martins,26
SP,Sao Paulo,Rua Eugenia de Carvalho,364
SP,Sao Paulo,Rua Andrade Maia,71
SP,Sao Paulo,Rua Pereque,150
SP,Sao Paulo,Rua Maxine,308
SP,Sao Paulo,Rua Antonio Olimpio,"1,176"
SP,Sao Paulo,Rua Manuel Machado Nunes,3
SP,Sao Paulo,Rua Salvador Fontoura,70
SP,Sao Paulo,Rua Ibiracatu,44
SP,Sao Paulo,Rua Sargento Luis Rodrigues Filho,211
SP,Sao Paulo,Avenida Sapopemba,"6,789"
SP,Sao Paulo,R. Tutoia,811
SP,Sao Paulo,Rua Sud Mennucci,311
SP,Sao Paulo,Rua Pitangueiras,2
SP,Sao Paulo,Rua Pedro Campana,141
SP,Sao Paulo,Rua Americo Ribeiro,499
SP,Sao Paulo,Rua Nagib Tanus Gastin,134
SP,Sao Paulo,Rua do Manifesto,"1,409"
SP,Sao Paulo,Rua Henrique Neri Ramos,58
SP,Sao Paulo,Avenida Diederichsen,"1,332"
SP,Sao Paulo,Rua Derval,211
SP,Sao Paulo,Rua Hipolito Raposo,120
SP,Sao Paulo,Rua Selma Kurtz,179
SP,Sao Paulo,Avenida Sabia,110
SP,Sao Paulo,Rua Professor Atilio Innocenti,383
SP,Sao Paulo,R. Guararapes,"2,064"
SP,Sao Paulo,Rua Otavio Tarquinio de Sousa,665
SP,Sao Paulo,Rua Doutor Jose aureo Bustamante,317
SP,Sao Paulo,Rua Darwin,549
SP,Sao Paulo,Avenida das Nacões Unidas,22
SP,Sao Paulo,Rua Icanhema,161
SP,Sao Paulo,Rua Benedetto Marcello,276
SP,Sao Paulo,Rua Professor Haroldo Nogueira,45
SP,Sao Paulo,Rua Olga Moretti Ferrari,112
SP,Sao Paulo,R. Augusto Avelino de Morais,195
SP,Sao Paulo,Rua Palestra Italia,"2,100"
SP,Sao Paulo,Rua Adriano Jose Marchini,106
SP,Sao Paulo,Rua Albion,563
SP,Sao Paulo,Avenida Cardeal Motta,937
SP,Sao Paulo,Rua Antonio da Costa Magueta,55
SP,Sao Paulo,Avenida Comendador Fiorelli Peccicacco,"1,359"
SP,Sao Paulo,Rua Delsuc Alves de Magalhaes,394
SP,Sao Paulo,Rua Carlos Weber,663
SP,Sao Paulo,Rua Bartolomeu de Ribeîra,100
SP,Sao Paulo,Avenida Otacilio Tomanik,618
SP,Sao Paulo,Rua Rui Amaral Lemos,333
SP,Sao Paulo,Rua Capote Valente,"1,300"
SP,Sao Paulo,Rua Iquitos,55
SP,Sao Paulo,Rua Padre Cerda,20
SP,Sao Paulo,Avenida Professor Fonseca Rodrigues,"2,001"
SP,Sao Paulo,Rua Jeronimo Fernandes,321
SP,Sao Paulo,Rua Albano Jose Pires,1
SP,Sao Paulo,Rua Leonardo Mota,124
SP,Sao Paulo,Rua Leonardo do Vale,93
SP,Sao Paulo,Rua do Simbolo,91
SP,Sao Paulo,Rua Miguel Masi Neto,171
SP,Sao Paulo,Rua Vicente Carozza,127
SP,Sao Paulo,Rua Hugo,80
SP,Sao Paulo,Rua Maria Jose de Carvalho,273
SP,Sao Paulo,Rua Joao de Santana,298
SP,Sao Paulo,Av. Ellis Maas,265
SP,Osasco,Rua dos Marianos,470
SP,Osasco,Rua Celso Bueno da Silveira,15
SP,Osasco,Rua Claudio Aparecido Oliveira,221
SP,Osasco,Rua Agostinho Navarro,141
SP,Osasco,Rua Werner Battenfeld,151
SP,Osasco,Rua Arno Barreto de Magalhaes,77
SP,Carapicuiba,Rua Celina,87
SP,Carapicuiba,Rua da Felicidade,398
SP,Barueri,Avenida Sargento Jose Siqueira,289
SP,Barueri,Alameda Itapecuru,99
SP,Santana de Parnaiba,Avenida Botafogo,73
SP,Jandira,Rua Rubens Lopes da Silva,300
SP,Itapevi,Avenida Ana Araujo de Castro,82
